,quarter,applications,in planning,approvals,approved not yet started,starts,in construction,completions,total completed
0,Q2 2024,5057,50000,1472,115000,1879,188000,4561,0
1,Q3 2024,6597,59892,1762,114718,2044,185121,4923,4923
2,Q4 2024,8138,65930,2100,114582,2236,182092,5265,10188
3,Q1 2025,9678,73051,2556,114667,2471,178896,5667,15855
4,Q2 2025,11218,81103,3166,115065,2768,175518,6147,22002
5,Q3 2025,12758,89875,3986,115897,3155,171941,6732,28733
6,Q4 2025,14299,99073,5100,117321,3676,168156,7461,36194
7,Q1 2026,15839,108262,6650,119558,4413,164168,8401,44595
8,Q2 2026,17379,116747,8894,122926,5526,160029,9664,54260
9,Q3 2026,18919,123311,12356,127918,7365,155929,11465,65725
10,Q4 2026,20460,125433,18338,135365,10891,152552,14267,79992
11,Q1 2027,22000,116074,31358,146817,19907,153148,19310,99303
12,Q2 2027,22000,109056,29019,154244,21591,155353,19386,118689
13,Q3 2027,22000,103792,27264,158825,22683,158371,19665,138354
14,Q4 2027,22000,99844,25948,161417,23357,161681,20047,158401
15,Q1 2028,22000,96883,24961,162640,23738,164953,20466,178866
16,Q2 2028,22000,94662,24221,162943,23918,167990,20880,199747
17,Q3 2028,22000,92997,23666,162646,23962,170688,21265,221011
18,Q4 2028,22000,91747,23249,161977,23919,173000,21606,242617
19,Q1 2029,22000,90811,22937,161094,23820,174922,21899,264516
