,quarter,applications,in planning,approvals,approved not yet started,starts,in construction,completions,total completed
0,Q2 2024,5057,50000,1472,115000,1879,188000,4561,0
1,Q3 2024,5038,58474,1621,114742,1879,185318,4561,4561
2,Q4 2024,5019,61772,1721,114589,1875,182697,4496,9057
3,Q1 2025,5000,64953,1819,114535,1872,180137,4432,13489
4,Q2 2025,5000,68041,1912,114576,1871,177638,4370,17860
5,Q3 2025,5000,71038,2003,114707,1872,175200,4310,22169
6,Q4 2025,5000,73946,2091,114924,1874,172824,4250,26420
7,Q1 2026,5000,76769,2177,115223,1878,170509,4193,30612
8,Q2 2026,5000,79509,2260,115601,1883,168255,4137,34749
9,Q3 2026,5000,82169,2341,116052,1889,166062,4082,38831
10,Q4 2026,5000,84750,2419,116575,1896,163929,4029,42860
11,Q1 2027,5000,87254,2495,117166,1905,161857,3977,46837
12,Q2 2027,5000,89686,2569,117820,1914,159845,3927,50764
13,Q3 2027,5000,92045,2640,118535,1925,157892,3878,54642
14,Q4 2027,5000,94336,2710,119308,1937,155998,3831,58472
15,Q1 2028,5000,96558,2777,120136,1949,154163,3785,62257
16,Q2 2028,5000,98716,2843,121016,1963,152386,3740,65997
17,Q3 2028,5000,100809,2906,121945,1977,150666,3697,69694
18,Q4 2028,5000,102842,2968,122920,1992,149003,3655,73349
19,Q1 2029,5000,104814,3028,123939,2008,147397,3615,76964
